,City,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Cabo San Lucas,26.0,22.89,-109.91,57,40,5.51
1,Bathsheba,24.0,13.22,-59.52,88,75,11.3
2,Saskylakh,-23.5,71.97,114.09,71,48,1.41
3,Geraldton,-8.0,49.72,-86.95,72,40,5.7
4,Castro,17.0,-42.48,-73.76,77,75,7.7
5,Punta Arenas,13.0,-53.16,-70.91,50,75,12.3
6,Puerto Ayora,28.0,-0.74,-90.35,51,20,8.7
7,Creston,0.6,41.06,-94.36,93,1,3.1
8,Mataura,20.85,-46.19,168.86,57,56,6.66
9,Khatanga,-20.43,71.98,102.47,82,48,1.51
10,Kapaa,26.1,22.08,-159.32,64,90,10.3
11,Benghazi,19.58,32.12,20.07,100,20,5.66
12,Tuatapere,17.6,-46.13,167.69,77,64,6.56
13,Port Elizabeth,3.3,39.31,-74.98,49,1,4.1
14,Barrow,29.83,-38.31,-60.23,33,0,9.16
15,Jamestown,23.45,-33.21,138.6,54,32,1.46
16,Fort Collins,9.8,40.55,-105.07,35,1,2.1
17,San Patricio,24.95,-26.98,-56.83,67,0,1.16
18,Arraial do Cabo,23.0,-22.97,-42.02,69,75,2.6
19,Rikitea,25.5,-23.12,-134.97,100,88,6.36
20,Kachiry,-23.85,53.07,76.1,56,0,1.86
21,Bluff,22.15,-23.58,149.07,64,92,6.61
22,Esperance,30.0,10.24,-61.45,58,20,5.1
23,Port Hardy,6.0,50.7,-127.42,75,75,11.3
24,Fort Nelson,-14.0,58.81,-122.69,84,75,2.6
25,Ilulissat,-11.0,69.22,-51.1,66,75,2.6
26,Kuching,24.0,1.56,110.34,94,75,1.5
27,Del Rio,11.9,29.36,-100.9,66,90,8.2
28,Kirillov,-5.45,59.86,38.38,83,76,7.26
29,Lavrentiya,-5.75,65.58,-170.99,100,68,13.61
30,Karratha,30.7,-20.74,116.85,18,24,5.21
31,Avera,7.2,33.19,-82.53,94,90,4.6
32,Uchiza,21.53,-8.46,-76.46,98,92,1.31
33,Saint-Philippe,-9.0,45.36,-73.48,59,90,1.41
34,Aldergrove,7.0,49.06,-122.49,57,75,3.1
35,Hun,11.0,50.34,4.87,87,92,11.3
36,Grindavik,1.0,63.84,-22.43,80,90,2.1
37,Ismailia,10.35,30.6,32.27,99,0,1.66
38,Marsa Matruh,16.0,31.35,27.25,59,20,2.6
39,Tongliao,-22.15,43.61,122.27,47,0,2.31
40,Huarmey,24.03,-10.07,-78.15,54,32,2.06
41,Cape Town,17.0,-33.93,18.42,72,20,5.7
42,Longyearbyen,-2.0,78.22,15.63,63,75,7.7
43,La Rioja,31.43,-29.41,-66.86,33,0,1.76
44,Bredasdorp,16.0,-34.53,20.04,72,0,1.5
45,Atar,18.58,20.52,-13.05,24,0,3.21
46,Severo-Kurilsk,-1.65,50.68,156.12,100,64,3.11
47,Prince Rupert,8.0,54.32,-130.32,65,90,6.2
48,Atikokan,-7.58,48.76,-91.62,69,8,2.76
49,Ushuaia,10.0,-54.81,-68.31,61,40,12.3
50,Upernavik,-13.1,72.79,-56.15,100,68,4.11
51,Dikson,-9.98,73.51,80.55,100,88,12.46
52,Airai,21.1,-8.93,125.41,91,36,0.71
53,Vardo,2.0,39.62,-77.74,47,1,2.6
54,Pisco,22.0,-13.71,-76.2,30,40,6.7
55,Henties Bay,15.7,-22.12,14.28,98,0,4.56
56,Axim,28.15,4.87,-2.24,100,12,4.16
57,Loralai,-2.58,30.37,68.6,77,0,1.61
58,Mendi,16.15,9.8,35.1,63,12,2.11
59,Vallenar,20.78,-28.58,-70.76,56,0,1.46
60,Oktyabrskiy,-4.0,55.61,37.97,92,90,4.0
61,Provideniya,-6.68,64.42,-173.23,100,32,7.96
62,Hermanus,13.33,-34.42,19.24,93,68,1.51
63,Micheweni,28.4,-4.97,39.83,100,20,2.06
64,Thompson,-11.0,55.74,-97.86,78,90,2.6
65,Coachella,20.0,33.68,-116.18,53,1,2.6
66,New Norfolk,14.0,-42.78,147.06,71,75,3.6
67,Albany,-2.0,42.65,-73.75,50,90,2.6
68,Mayo,-3.0,63.59,-135.9,86,90,1.5
69,Vysokogornyy,-27.5,50.1,139.13,71,36,2.51
70,Calbuco,16.0,-41.77,-73.13,82,90,10.3
71,Springbok,11.35,-29.67,17.88,58,0,3.01
72,Butaritari,29.65,3.07,172.79,100,0,3.01
73,Bethel,-5.0,60.79,-161.76,92,90,4.1
74,Lasa,14.0,34.92,32.53,82,40,2.6
75,Hamilton,20.0,32.3,-64.78,64,75,5.7
76,Kaitangata,17.85,-46.28,169.85,66,76,7.81
77,Vaini,20.28,15.34,74.49,89,24,0.86
78,Sulangan,27.5,11.14,123.72,100,76,8.56
79,Hilo,26.1,19.71,-155.08,56,1,4.6
80,Atuona,27.3,-9.8,-139.03,100,44,8.41
81,Whitecourt,-6.0,54.14,-115.68,57,20,3.1
82,Maturin,29.93,9.75,-63.18,53,80,4.21
83,Deputatskiy,-37.23,69.3,139.9,62,36,1.61
84,Narsaq,-17.3,60.91,-46.05,58,20,1.06
85,Byron Bay,22.0,-28.65,153.62,83,75,2.6
86,Noumea,25.0,-22.28,166.46,53,75,6.2
87,Fort Myers Beach,28.3,26.45,-81.95,48,75,3.6
88,Talnakh,-19.65,69.49,88.39,75,80,7.46
89,Dunedin,18.03,-45.87,170.5,79,88,1.06
90,Rocha,24.5,-34.48,-54.34,41,0,4.11
91,Crixas,26.43,-14.55,-49.97,80,36,0.76
92,Milledgeville,6.0,33.08,-83.23,93,90,3.1
93,Iqaluit,-26.0,63.75,-68.52,75,20,2.6
94,Ust-Maya,-31.68,60.42,134.54,75,64,0.81
95,Doha,21.0,25.29,51.53,64,0,2.1
96,Fukue,6.0,35.03,136.69,100,75,11.3
97,Ponta do Sol,22.75,-20.63,-46.0,60,0,3.71
98,Busselton,14.68,-33.64,115.35,100,0,7.26
99,Kamuli,20.58,0.94,33.12,93,12,2.76
100,Oussouye,25.0,12.49,-16.54,69,0,1.0
101,Coahuayana,27.93,18.62,-100.35,46,0,1.36
102,Lebu,13.0,8.96,38.73,76,0,3.1
103,Arroio Grande,23.2,-32.24,-53.09,65,0,5.26
104,Ambon,13.0,47.55,-2.56,76,90,8.2
105,Zhigansk,-37.7,66.77,123.37,69,56,1.11
106,Nikolskoye,-2.0,59.7,30.79,86,90,7.0
107,Polyarnyy,-4.0,69.2,33.45,92,75,1.0
108,Morgan City,20.0,29.7,-91.21,93,90,5.1
109,Sobolevo,-2.73,54.43,31.9,92,92,6.66
110,Lufilufi,27.28,-13.87,-171.6,100,36,4.91
111,Qaanaaq,-19.4,77.48,-69.36,100,36,4.01
112,Ardakan,8.0,32.31,54.02,33,0,2.1
113,Chapada dos Guimaraes,32.0,-15.46,-55.75,52,75,3.1
114,Whitehorse,0.0,60.72,-135.06,76,40,9.8
115,Yellowknife,-11.0,62.45,-114.38,85,75,5.1
116,Ahipara,18.9,-35.17,173.16,75,0,6.71
117,Ngunguru,18.3,-35.62,174.5,91,0,7.96
118,Saint George,6.0,39.45,22.34,86,40,2.1
119,Pangnirtung,-23.0,66.15,-65.72,63,5,1.0
